Date,Time,PM2.5,PM2.5 AQI
01-01-2017,1:00 AM,29.43,238
01-01-2017,2:00 AM,29.35,243
01-01-2017,3:00 AM,30.63,250
01-01-2017,4:00 AM,26.88,254
01-01-2017,5:00 AM,28.76,259
01-01-2017,6:00 AM,26.63,262
01-01-2017,7:00 AM,23.46,264
01-01-2017,8:00 AM,14.93,265
01-01-2017,9:00 AM,11.78,265
01-01-2017,10:00 AM,15.1,264
01-01-2017,11:00 AM,21.18,263
01-01-2017,12:00 PM,26.2,261
01-01-2017,1:00 PM,18.16,261
01-01-2017,2:00 PM,9.51,263
01-01-2017,3:00 PM,6.06,270
01-01-2017,4:00 PM,4.18,282
01-01-2017,5:00 PM,3.29,290
01-01-2017,6:00 PM,6.17,296
01-01-2017,7:00 PM,12.49,299
01-01-2017,8:00 PM,17.21,500
01-01-2017,9:00 PM,26.4,500
01-01-2017,10:00 PM,29.49,500
01-01-2017,11:00 PM,28.51,500
01/01/2017 24:00 AM,,24.52,500
02-01-2017,1:00 AM,15.62,500
02-01-2017,2:00 AM,15.62,500
02-01-2017,3:00 AM,15.44,500
02-01-2017,4:00 AM,15.34,500
02-01-2017,5:00 AM,12.88,500
02-01-2017,6:00 AM,7.24,500
02-01-2017,7:00 AM,7.15,500
02-01-2017,8:00 AM,10.82,500
02-01-2017,9:00 AM,10.27,500
02-01-2017,10:00 AM,13.02,500
02-01-2017,11:00 AM,16.08,500
02-01-2017,12:00 PM,15.06,500
02-01-2017,1:00 PM,8.39,500
02-01-2017,2:00 PM,4.2,500
02-01-2017,3:00 PM,14.01,500
02-01-2017,4:00 PM,22.83,500
02-01-2017,5:00 PM,25.62,500
02-01-2017,6:00 PM,26.83,500
02-01-2017,7:00 PM,30.46,500
02-01-2017,8:00 PM,32.76,500
02-01-2017,9:00 PM,38.27,500
02-01-2017,10:00 PM,42.06,298
02-01-2017,11:00 PM,46.22,296
02/01/2017 24:00 AM,,40.56,294
03-01-2017,1:00 AM,29.11,288
03-01-2017,2:00 AM,23.75,280
03-01-2017,3:00 AM,19.54,270
03-01-2017,4:00 AM,17.68,262
03-01-2017,5:00 AM,23.07,258
03-01-2017,6:00 AM,19.58,254
03-01-2017,7:00 AM,19.75,250
03-01-2017,8:00 AM,38.47,249
03-01-2017,9:00 AM,44.78,247
03-01-2017,10:00 AM,41.02,246
03-01-2017,11:00 AM,31.66,244
03-01-2017,12:00 PM,22.19,243
03-01-2017,1:00 PM,17.31,243
03-01-2017,2:00 PM,19.49,242
03-01-2017,3:00 PM,21.14,240
03-01-2017,4:00 PM,18.74,240
03-01-2017,5:00 PM,15.99,239
03-01-2017,6:00 PM,27.01,239
03-01-2017,7:00 PM,13.36,239
03-01-2017,8:00 PM,14.01,238
03-01-2017,9:00 PM,27.31,238
03-01-2017,10:00 PM,40.92,237
03-01-2017,11:00 PM,53.42,236
03/01/2017 24:00 AM,,56.23,233
04-01-2017,1:00 AM,50.9,232
04-01-2017,2:00 AM,35.17,236
04-01-2017,3:00 AM,27.54,242
04-01-2017,4:00 AM,24.66,248
04-01-2017,5:00 AM,19.74,252
04-01-2017,6:00 AM,23.5,252
